train,val
normal_002,normal_001
normal_003,normal_004
normal_006,normal_009
normal_007,normal_010
normal_008,normal_013
normal_011,normal_020
normal_012,normal_024
normal_014,normal_025
normal_015,normal_030
normal_018,normal_033
normal_022,normal_034
normal_023,normal_043
normal_026,normal_046
normal_028,normal_050
normal_029,normal_055
normal_031,normal_056
normal_032,normal_057
normal_035,normal_059
normal_036,normal_060
normal_037,normal_069
normal_038,normal_072
normal_039,normal_073
normal_040,normal_075
normal_041,normal_082
normal_044,normal_090
normal_047,normal_091
normal_048,normal_092
normal_049,normal_094
normal_051,normal_098
normal_052,normal_099
normal_053,normal_101
normal_054,normal_110
normal_058,normal_112
normal_061,normal_115
normal_062,normal_117
normal_063,normal_118
normal_064,normal_122
normal_065,normal_123
normal_066,normal_125
normal_067,normal_127
normal_068,normal_130
normal_070,normal_132
normal_071,normal_134
normal_074,normal_137
normal_076,normal_138
normal_077,normal_140
normal_078,normal_143
normal_079,normal_147
normal_080,normal_149
normal_081,normal_150
normal_083,normal_160
normal_084,tumor_006
normal_085,tumor_010
normal_087,tumor_013
normal_088,tumor_014
normal_089,tumor_018
normal_093,tumor_023
normal_095,tumor_026
normal_096,tumor_029
normal_097,tumor_030
normal_100,tumor_031
normal_102,tumor_032
normal_103,tumor_033
normal_104,tumor_036
normal_105,tumor_051
normal_106,tumor_053
normal_107,tumor_055
normal_108,tumor_056
normal_109,tumor_059
normal_111,tumor_062
normal_113,tumor_063
normal_114,tumor_064
normal_116,tumor_065
normal_119,tumor_067
normal_120,tumor_069
normal_121,tumor_070
normal_124,tumor_075
normal_126,tumor_076
normal_128,tumor_085
normal_129,tumor_090
normal_131,tumor_091
normal_133,tumor_092
normal_135,tumor_096
normal_136,tumor_099
normal_139,tumor_100
normal_141,tumor_101
normal_142,tumor_104
normal_144,tumor_110
normal_145,
normal_146,
normal_148,
normal_151,
normal_152,
normal_153,
normal_154,
normal_155,
normal_156,
normal_157,
normal_158,
normal_159,
tumor_001,
tumor_002,
tumor_003,
tumor_004,
tumor_005,
tumor_007,
tumor_008,
tumor_009,
tumor_011,
tumor_012,
tumor_015,
tumor_016,
tumor_017,
tumor_019,
tumor_020,
tumor_021,
tumor_022,
tumor_024,
tumor_025,
tumor_027,
tumor_028,
tumor_034,
tumor_035,
tumor_037,
tumor_038,
tumor_039,
tumor_040,
tumor_041,
tumor_042,
tumor_043,
tumor_044,
tumor_045,
tumor_046,
tumor_047,
tumor_048,
tumor_049,
tumor_050,
tumor_052,
tumor_054,
tumor_057,
tumor_058,
tumor_060,
tumor_061,
tumor_066,
tumor_068,
tumor_071,
tumor_072,
tumor_073,
tumor_074,
tumor_077,
tumor_078,
tumor_079,
tumor_080,
tumor_081,
tumor_082,
tumor_083,
tumor_084,
tumor_086,
tumor_087,
tumor_088,
tumor_089,
tumor_093,
tumor_094,
tumor_095,
tumor_097,
tumor_098,
tumor_102,
tumor_103,
tumor_105,
tumor_106,
tumor_107,
tumor_108,
tumor_109,
tumor_111,
